lat,lon,station_id,Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,Day_7,Day_8,Day_9,Day_10,Day_11,Day_12,Day_13,Day_14,Day_15,Day_16,Day_17,Day_18,Day_19,Day_20,Day_21,Day_22,Day_23,Day_24,Day_25,Day_26,Day_27,Day_28,Day_29,Day_30,Day_31,Day_32,Day_33,Day_34,Day_35,Day_36,Day_37,Day_38,Day_39,Day_40,Day_41,Day_42,Day_43,Day_44,Day_45,Day_46,Day_47,Day_48,Day_49,Day_50,Day_51,Day_52,Day_53,Day_54,Day_55,Day_56,Day_57,Day_58,Day_59,Day_60,Day_61,Day_62,Day_63,Day_64,Day_65,Day_66,Day_67,Day_68,Day_69,Day_70,Day_71,Day_72,Day_73,Day_74,Day_75,Day_76,Day_77,Day_78,Day_79,Day_80,Day_81,Day_82,Day_83,Day_84,Day_85,Day_86,Day_87,Day_88,Day_89,Day_90,Day_91,Day_92,Day_93,Day_94,Day_95,Day_96,Day_97,Day_98,Day_99,Day_100,Day_101,Day_102,Day_103,Day_104,Day_105,Day_106,Day_107,Day_108,Day_109,Day_110,Day_111,Day_112,Day_113,Day_114,Day_115,Day_116,Day_117,Day_118,Day_119,Day_120,Day_121,Day_122,Day_123,Day_124,Day_125,Day_126,Day_127,Day_128,Day_129,Day_130,Day_131,Day_132,Day_133,Day_134,Day_135,Day_136,Day_137,Day_138,Day_139,Day_140,Day_141,Day_142,Day_143,Day_144,Day_145,Day_146,Day_147,Day_148,Day_149,Day_150,Day_151,Day_152,Day_153,Day_154,Day_155,Day_156,Day_157,Day_158,Day_159,Day_160,Day_161,Day_162,Day_163,Day_164,Day_165,Day_166,Day_167,Day_168,Day_169,Day_170,Day_171,Day_172,Day_173,Day_174,Day_175,Day_176,Day_177,Day_178,Day_179,Day_180,Day_181,Day_182,Day_183,Day_184,Day_185,Day_186,Day_187,Day_188,Day_189,Day_190,Day_191,Day_192,Day_193,Day_194,Day_195,Day_196,Day_197,Day_198,Day_199,Day_200,Day_201,Day_202,Day_203,Day_204,Day_205,Day_206,Day_207,Day_208,Day_209,Day_210,Day_211,Day_212,Day_213,Day_214,Day_215,Day_216,Day_217,Day_218,Day_219,Day_220,Day_221,Day_222,Day_223,Day_224,Day_225,Day_226,Day_227,Day_228,Day_229,Day_230,Day_231,Day_232,Day_233,Day_234,Day_235,Day_236,Day_237,Day_238,Day_239,Day_240,Day_241,Day_242,Day_243,Day_244,Day_245,Day_246,Day_247,Day_248,Day_249,Day_250,Day_251,Day_252,Day_253,Day_254,Day_255,Day_256,Day_257,Day_258,Day_259,Day_260,Day_261,Day_262,Day_263,Day_264,Day_265,Day_266,Day_267,Day_268,Day_269,Day_270,Day_271,Day_272,Day_273,Day_274,Day_275,Day_276,Day_277,Day_278,Day_279,Day_280,Day_281,Day_282,Day_283,Day_284,Day_285,Day_286,Day_287,Day_288,Day_289,Day_290,Day_291,Day_292,Day_293,Day_294,Day_295,Day_296,Day_297,Day_298,Day_299,Day_300,Day_301,Day_302,Day_303,Day_304,Day_305,Day_306,Day_307,Day_308,Day_309,Day_310,Day_311,Day_312,Day_313,Day_314,Day_315,Day_316,Day_317,Day_318,Day_319,Day_320,Day_321,Day_322,Day_323,Day_324,Day_325,Day_326,Day_327,Day_328,Day_329,Day_330,Day_331,Day_332,Day_333,Day_334,Day_335,Day_336,Day_337,Day_338,Day_339,Day_340,Day_341,Day_342,Day_343,Day_344,Day_345,Day_346,Day_347,Day_348,Day_349,Day_350,Day_351,Day_352,Day_353,Day_354,Day_355,Day_356,Day_357,Day_358,Day_359,Day_360,Day_361,Day_362,Day_363,Day_364,Day_365
24.5,76.5,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0.7,0.9,3,2.3,0,0,0,0.4,0,0,3.4,0,13.1,0,0,7.2,0,0.8,42.9,7.1,2.2,1.8,6.5,0,5.5,7.6,13.5,0,3.1,13.2,4.7,15.9,19.9,9.6,1.3,0,0,0,0,3.2,91.1,51.6,19.6,0,29.7,40.9,64.5,96.1,36.6,30.9,12.3,0.3,0,0,0,22.5,4.8,0,0.7,3.5,2.8,6.6,5.2,3,13,0,1.3,11.7,3,11.5,3.6,8.5,59.5,20,18.6,0.7,7.3,3.7,36.3,3.7,24.6,0.8,0,0,12.8,40.9,7.2,1.7,0.4,0,0,9.5,4.2,7.6,18.2,29.3,0.6,0.8,0,0,0.2,3.3,0.3,0,0,0,3.5,7.7,58.2,8.6,0,2.7,9.7,0,0,0,0.6,0,0,0,0,0,0,0.5,10.2,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
25.5,76.5,2,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,1.1,0.8,0,0,0,0,0,0,0.6,0,0,0,3.1,4.6,5.5,2.1,20.2,1.6,5.2,0,7.2,1.2,4.2,1.2,0,2.2,23.4,0,6.7,19.2,18.4,0.9,7.4,9.7,0.9,0,0,0,0,0,6.2,15.2,19.6,8.4,9.6,20.7,24.7,61.5,35.4,13.7,17.1,0,0,0,4.3,39.2,29.6,3.6,5.8,1.1,1.3,10.7,65.7,19.5,0.1,0,0,0,0.6,0,0,0,2.1,27.7,4.4,2.6,1.8,3.8,4.9,0,1.6,10.6,0.9,0,45.3,34.5,2.3,0,1.2,0.7,0,31.3,28.4,10.4,2.4,2.3,0,0.9,0,0,0,5.2,1.2,2.8,0,0,0,3.3,16.6,10.9,0.2,0,9.6,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0
26.5,76.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,5.6,0,2.6,0,0,0,0,0,0,0,0,0.2,0,0,3.8,0,0.5,0.2,1.1,0,0,0,0,0,2.7,0,0,1,12.9,0,1.4,22.9,9.5,0,1.9,5.4,2.4,0,0,0,0,0,4.5,52.9,36.6,1.5,8.2,12.2,52.9,64.7,27.8,5.6,21.6,0,0,0,2.6,18.6,13.9,0.7,2.5,0.5,23.4,15,5.2,3.5,3.1,0,0,0,1.8,0,0,0,0.9,33.5,1.8,7.7,0.8,3.1,2.3,23.4,1.4,0.6,3.8,1.9,4.4,17.5,10,0.5,0,0.2,1.3,13.1,5.7,3.6,10.6,3.5,0.1,0,0.1,0,0,25,0,0,0,0,1.1,1.3,5.7,27.2,32.8,5.6,27.5,21.1,4.6,0,0,1.5,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
27.5,76.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.7,0,1.5,1.2,0.8,0,0,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,6.4,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.3,0.8,0,0.1,5.9,0,0.3,3,1.3,0,0,0,0,0,0,0.3,27,32.3,11.5,0.6,2.7,1,0.4,18.5,0,0,0,0,0,0,0,0,21,26.2,19.5,0.6,0.2,0.2,45.5,38.3,29.4,8.7,0,0,8.5,0,0.6,11.7,13,11,2.4,16.3,20.1,0.3,1.4,25.4,24.5,0,0,0,0,0,0,0,0.2,0,53.1,19.6,15.2,8.9,4.1,6.6,0,0,0,0,0.4,46.8,24.9,0.3,0.3,0,0,14.3,2.3,14.3,6.2,26,2.2,0,52,0,16.4,0.6,0,0,1.8,0,0,20.3,2.9,3.6,13.4,59,61.1,41.3,5.8,0,0,26.9,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0
28.5,76.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,1.3,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0.2,4.1,2.2,0,0,0,0.7,12.4,0.1,0,0,0,6.9,0,0,0,1.6,5.7,21.8,0,0,0,0,2.3,0,0,6,0,7.8,31.7,45.6,1.2,0.4,22.1,6.1,4.1,19.8,0,0.8,0,3.9,1.2,5.5,11.5,7.5,24.2,9,4.4,0,0.5,9.1,0,0,0,0,0,0,0,0,0,0,17.6,0.7,1.6,10.7,2,0.2,0,0,0,0,0,1.7,0,0,3.1,0,0.1,4.3,4.2,7.9,10.7,28.4,0,0,41,0,9.1,0,1.8,0,0,0,0,2.4,8.8,4.4,28.1,19.2,52.4,19.5,14.7,5,2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,1.8,0,0,0,0,0,0,0,0
29.5,76.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0.5,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.6,0,0,0,0,0,0,1.8,0,0,0,0,0.2,0,0,2.5,1.6,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,1.9,0,1.9,0,0,0,0,0,2.5,0,5,0,2.5,0,0,0,0.2,26.7,0.1,1.6,0,0,0.6,0,0,0.8,23.2,9.1,13,5.5,11.7,6,0.7,0,0.8,0,0,0,0,0,0,0,0,0,15,5.9,12,0,7.2,0,3.4,1.2,0.7,0,0,11.5,10.1,0.7,7.6,0,0.4,0,37.2,19.6,11.9,42,23,0,41.3,10.3,0,5.8,0,0.2,0,0,0.4,0,0,0,52.5,86.9,27.1,17.2,9.4,2.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,0,0,0,0,0.3,0,0,0,0
30.5,76.5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1.4,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0.2,0,0,0,0,2.1,0,0,1.8,8.9,21.3,23.3,3.9,1.5,0,0,0.2,1.4,6.2,2.5,0,0.7,0.2,0,0,0,0.2,0,0.5,0,8.6,22.3,4.2,0,4.3,25.7,19.7,16.4,2.4,33.2,19.5,0.5,0.3,0,0,20.1,0,0.6,0,0,0,0,0,0,4.5,20.6,7.6,0.2,0,0,2.1,0.8,0,0,0.2,6.9,1.6,0.1,5,0,0,12.6,4.4,0.3,3.8,3.4,3.8,7.2,0,0.2,0,0,0,0,0,0,0,0,0,1.3,7.6,66.5,64,1.7,11.8,9.9,22.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0.5,0,0.7,1,0,0,0
31.5,76.5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5.2,0,0,0,0,0,0,0,0,0,0,5.5,7.9,5.5,0.9,0,0,0,0,0,0,1.5,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,1.7,3.4,6,2.8,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,0,0,0,3,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,2.3,3.3,1.3,0,0,0,0,0.9,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5.2,0,1.3,0,0,0,0,0,0,0.6,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,2.4,0,2.2,27.4,15.6,0,4.5,1,2.6,11.6,8.3,0,8.4,6.4,20.2,2.7,1.1,9,1.5,8,23.1,32,28.7,76.5,31.5,0,22.5,11.6,10.9,23.5,19.4,12.8,1.4,3.3,2.1,23,9,9.3,16,13.6,27.8,32.1,30.6,52.5,15.9,21.5,5.9,14.9,13.1,10.6,2.6,0,0,0,0,0,16.9,1.5,17.9,19,0.4,0.8,5.2,11.1,2.9,0,0,2,0,2.7,21.1,8.9,0.2,0,3.1,40.9,12,7.9,13.7,10.1,0.7,2.3,0,1.1,1.7,1.3,0,0,0,2.8,8.3,0,3.2,5.6,10.2,19.8,16.2,5.9,8.9,21,42.6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,2.9,0,0,0,0,0,6,13.5,2.6,0,1.9,2.2,1,5.3,0,0,0
32.5,76.5,9,0,1.3,0.4,0,0,0,0,0,0,0,1.5,0.3,0,1.4,7.9,0,0.4,0,0,0,0,0.8,11.4,0,0,1.5,22,13.2,9.6,3.3,0,0,3.6,0,0,2.1,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8.9,2.1,8.9,13.6,0,0,0,0,0,0,1.3,7.4,5.6,0,1.6,0,0,0,0,0,0,0,0.2,0,0,0,0,0,2.6,6.8,0,0,0.9,21.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,2.5,0,0,0,0,0,0,0.8,5.8,0,1.6,4,0,0,0,0,1.4,0,0,0,0,0,0,0,0.9,0,0,0,0.2,0,0,0,0,0.4,0,0,0,6.4,0,1.7,3.5,0,0,0.2,0,0,1.5,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9,1,0,29.4,6.8,0.1,1.6,1.3,16,6.5,10.7,25.9,9.9,3.3,27.1,17.7,54,14.2,126.6,9.6,15.4,139.8,38,46.5,65.8,3,9.5,50.2,7.6,20.2,139,141.5,111.5,81.4,14.1,6.7,73.1,74,20,124.7,76.8,15.5,6.7,215.2,56.7,24.2,74.2,69.9,23.6,22.1,2.4,0,4,0,0,1.1,34,2.7,44.1,37.3,56.9,1.7,11.1,3.1,35.7,0,0.6,3.1,0,0.8,22.6,18.8,14.1,0,16.1,17.9,8.5,6,29.5,20.5,2.3,0,34.8,0,0.3,34,0,0,14.7,15.3,54.6,2.7,3.9,0,60.2,21,34.6,3.1,34.9,17.2,56.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,2.1,0,0,0,1.1,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,11,35.4,0,0,0,0,0,6.3,50.3,0.5,0,0,0,14.1,20.1,0,0,0
24.5,77.5,10,0,0,0,7.3,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.5,4.1,0,0,0,0,1.6,1.1,0,0,0,0,2.4,0,1.5,82.4,4.9,0,0,0,0,7.7,36.4,1.5,51.7,1,0,0.7,16.5,38.2,0,5.9,20.5,14.3,0.4,22.9,11.4,0.2,0,0,0,0,2.1,49.3,31.9,22.1,28.3,74.5,121.7,253.1,113.7,13.5,22.2,16,14.8,0.3,1.4,4.9,23.6,10,10.2,6.1,0.6,6.2,1.8,3.9,3.2,1.4,0,1.2,0.6,8.9,13.9,0,19.2,9,5.2,0.8,0,0,0.3,19.5,15.9,2.9,0.8,0.1,7.7,30.8,13.3,3.3,1.4,0.3,12.2,0,20,0.4,7.7,7.1,0.3,0,0,0,0,0,0,0.4,0,0,0.8,0.2,9.4,36.2,8.2,0,0.9,66.2,10.1,0.9,2.1,0,1.2,0.2,0,0,0,0,0,2.9,1.1,0.5,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0
25.5,77.5,11,0,0,0.1,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,4.4,0,0.6,0,9.6,4.7,0,5.5,0,1.2,2.9,0,0,3.6,0.8,0,1.6,7.9,7.9,0,12.1,7.4,2.6,6.1,19.8,5.9,0,0,0,0,0,18.5,99.6,40.2,8.3,14.4,0.9,16.8,53.2,55.6,11.7,20.2,4.7,0,0,4,16.8,44.3,3.7,2.1,11,0,2,2.9,11.6,1.3,0.9,0,0,8.7,0,0.4,0.2,5.7,5.9,0.8,44.3,8.6,0.4,2.1,1.7,1.1,0,0,0,2.2,41,32.8,9.5,3.3,0.4,3.8,33,77.1,5.1,7.1,5.5,6.1,0,0,0,0,0,15.3,0,0,0,0,9.8,5,28.7,6.4,4.1,0,0,26.3,0,55.6,9.6,10.6,6.5,0,0,0,0.4,0,18.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
